Sim No.,lambda,JWS,AWS,NSS,JSS,ASS,PFS,JFS,AFS,JP,AP,JB,AB
1,1.002,0.785525233317074,0.944551231597677,0.820033865226724,0.958063894104314,0.998712961952773,0.846008750920651,0.709307042740649,0.951645611986563,0.495313987985133,0.615242402357127,0.552099229573238,0.956882364934581
2,1.007,0.789696683056049,0.98245286824792,0.931549998040656,0.890245060403605,0.9699775253168,0.537334612930961,0.908138135194375,0.91073575408867,0.633299269375656,0.731659355124145,0.877616430859671,0.905601829674228
3,1.005,0.924622225433939,0.992717379186686,0.892638504119635,0.569167351358929,0.960876411757688,0.49664437873028,0.758907020363035,0.963509274618743,0.63557522897372,0.705776842611642,0.853382901024677,0.960500442367022
4,1.009,0.90807261889505,0.962581291196512,0.972964473763529,0.45166884934071,0.929029448639295,0.72098878265868,0.762328668408321,0.948576453656373,0.549650649937266,0.85200025757276,0.883565332864332,0.885445218147274
5,1.001,0.712340234668595,0.983466989669514,0.817787012984379,0.73493253136081,0.973241385146264,0.445511222186193,0.812065502933185,0.977383657239858,0.765941260609684,0.952960424334715,0.692815397859773,0.712464292099463
6,1.01,0.816583550622639,0.993113332753476,0.763105123579258,0.839676075870351,0.960240972803725,0.754932079603947,0.824873226301027,0.971099733707502,0.791527565834644,0.854964464888116,0.431498291275148,0.559837716415955
7,0.991,0.793634987286036,0.832770620250952,0.827712515182167,0.851057047203445,0.997045700496109,0.84641991954748,0.791174271631531,0.958549219382871,0.807863431960216,0.868000738537531,0.93538052563477,0.951138875845265
8,1.002,0.832692164095585,0.947018857243503,0.848229529585851,0.39422327189842,0.999594870668633,0.731605715873793,0.788442493527758,0.952115712264132,0.437938987587147,0.750793482716271,0.715274221124198,0.912815449651744
9,0.991,0.81150129296111,0.970495211395153,0.852928554512834,0.9825816271016,0.993339690705965,0.23436697356326,0.487478088905715,0.987798776711589,0.675854148382713,0.896282866319484,0.883519365183234,0.971763400059637
10,0.991,0.705790158854223,0.96459891026875,0.881368865643096,0.89202782305446,0.994698998754547,0.259186984509684,0.507078711438977,0.99444481749621,0.8501657124325,0.947117691896159,0.4135849696946,0.946759333732262
11,1.007,0.908714501164591,0.988250383483258,0.953525885691485,0.944577365809713,0.955289748850176,0.362694207093984,0.739705786666898,0.97709568521902,0.550640977218445,0.617415924210269,0.673196460723875,0.933723528139246
12,1.007,0.786628932546291,0.906322558462433,0.770780340583211,0.837543911343636,0.983178663382776,0.69879149984038,0.874561188989846,0.901781606194907,0.809803176993766,0.959243708822836,0.950444730785981,0.990124691888202
13,1.003,0.648280434008943,0.992702743248785,0.908144762121767,0.729174705991646,0.930513361579265,0.783514396979756,0.449922502144979,0.964188587580794,0.805848429151045,0.955158259397435,0.901767725454809,0.981005370251616
14,1.009,0.77672310425299,0.986967071878779,0.77326389186659,0.960788394741074,0.997706655135149,0.512136645490142,0.416052790516166,0.957504426482419,0.657099584652896,0.912682393382854,0.404646077107239,0.83324959166466
15,1.008,0.761847293598955,0.908981755194155,0.937583600256813,0.986510198870792,0.99220584100268,0.695865150730884,0.771061898618538,0.90966569734115,0.722384662489346,0.950363526953712,0.704510587848899,0.883379250580442
16,1.007,0.965150699623792,0.999720859540692,0.953724730375612,0.854546536709649,0.916384593168753,0.6329943129858,0.661185991298039,0.86604108863614,0.79401725806092,0.843304605277097,0.984565928577316,0.993428479540329
17,0.994,0.750590922933513,0.970709320277686,0.9631350198028,0.836399306582825,0.985788732430167,0.338019220031278,0.621774599651902,0.972368830291844,0.746348081364158,0.926170324591568,0.804798981183174,0.82220130643133
18,1.004,0.665550897892045,0.999440952616946,0.89927195535872,0.840646800230114,0.995661485435469,0.361232490807805,0.580402618956944,0.95309984998003,0.90628220491452,0.912047118465064,0.810953012350455,0.967226193106724
19,0.991,0.905752741228737,0.956428130216991,0.95992077983053,0.824922375733671,0.997324699895094,0.644436018898076,0.421712754477509,0.897783049609709,0.795796674975607,0.911728553908124,0.540525840710575,0.958007130138321
20,1.001,0.830585592596797,0.889962247705667,0.680628109819884,0.941463221079057,0.978604432365929,0.483313040342917,0.876952216256429,0.994452338124205,0.791804393122985,0.951243585728221,0.865484731346107,0.970702518546696
21,1,0.738064690310314,0.924473713169912,0.966164417474791,0.921607623043291,0.962689794878759,0.595533280429448,0.594334426193057,0.984925069768667,0.790695852453517,0.912114046779324,0.854916694819821,0.93024791394158
22,1.006,0.879305336657975,0.96254624172666,0.794017676782919,0.75315658709145,0.886080210395544,0.758430211498367,0.842792103369695,0.973759903606951,0.704430262463365,0.997878777067689,0.739262168528667,0.795007418506579
23,0.993,0.677014788390555,0.971609614544199,0.91534781404303,0.516760156772606,0.96846136104659,0.537387269014515,0.69835122921293,0.992425212615859,0.694449559696907,0.787013198158576,0.812513850820998,0.896354054067339
24,0.994,0.789706487305142,0.993315715049727,0.926882653135669,0.959054415154505,0.99640989869435,0.36514894170954,0.515954959945359,0.939157537307671,0.932964573158039,0.994964942632791,0.627456323201089,0.793453246257716
25,0.992,0.628642187032192,0.961171407890768,0.999865462450038,0.916413939903038,0.941513997614034,0.739313183101461,0.555357355495065,0.912573262385738,0.409233313252396,0.96225578782315,0.711391557475142,0.925557290432556
26,0.997,0.959604424444853,0.998444203802291,0.773354047162663,0.727548921215559,0.917690871557406,0.591177919846627,0.50824326777749,0.998097958620207,0.831256019359205,0.885954091457197,0.761240894256698,0.848370913875361
