,Years 1,Years 2,Years 3,Years 4,Years 5,Years 6,Years 7,Years 8,Years 9,Years 10,Years 11,Years 12,Years 13,Years 14,Years 15,Years 16,Years 17,Years 18,Years 19,Years 20,Years 21,Years 22,Years 23,Years 24,Years 25,Years 26,Years 27,Years 28,Years 29,Years 30,Years 31
Sample No. 1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.756296333683655,0.779117834976874,0.751744330256712,0.758964520717505,0.705830374303274,0.763176101354416,0.775321912359446,0.897419294211082,0.912811777709983,0.911583422666416,0.891972137453966,0.889872301805764,0.937833453081548,0.954997295700014,0.952929578498006,0.966394603848457,0.980283619053662,0.956117769684643
Sample No. 2,1,1,1,1,1,1,1,1,1,0.779018538865726,0.708035493596923,0.726709633461665,0.752591195180081,0.806020562317222,0.749907557365019,0.729421481340192,0.850888551359996,0.878030406001955,0.889537447210401,0.88869246500358,0.886498522685841,0.99528875855729,0.98345348097384,0.993672687225044,0.920167401302606,0.962546267956495,0.923215239848942,0.967770070452243,0.982307108268142,1,1
Sample No. 3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.712917935116217,0.814091383515857,0.693188607694115,0.822904844304081,0.701046237944625,0.772382821132429,0.704571199511643,0.862353439854458,0.856325226617046,0.867704266027547,0.9001676470479,0.854571580976248,0.999952765293419
Sample No. 4,1,1,1,1,0.77915515110502,0.711883078284096,0.713799269603565,0.781874382986221,0.725814883249346,0.788820377750322,0.803668407503515,0.91722366388049,0.866214447326958,0.874429314579815,0.900142623482272,0.847053034003824,0.962778987027705,0.929891300927848,0.943838544897735,0.934005472287536,0.930845417380333,0.949951539766043,0.979858470987529,0.965792739558965,1,1,1,1,1,1,1
Sample No. 5,1,1,1,1,1,1,1,1,1,1,1,1,0.749820867810864,0.728665205232333,0.77601185282832,0.761958575401455,0.699679905270692,0.805493383076042,0.809233741044532,0.910595093104057,0.859644963715225,0.861665100377984,0.916342536755838,0.870817539469339,0.947954915743321,0.942314642965794,0.962035434972495,0.925419883057475,0.955537656191736,0.943553777709603,0.962686698660254
Sample No. 6,1,1,1,0.790615179554094,0.724063965633046,0.739433244011831,0.698235335283913,0.782935122716241,0.802243889334146,0.716313221097458,0.851504047457129,0.897806872712448,0.880189463978633,0.875343613918871,0.91802388196066,0.972691912055016,0.935311366766691,0.985179370325059,0.991749736163765,0.99417696421966,0.985253061465919,0.980255130100995,0.994135982487351,1,1,1,1,1,1,1,1
Sample No. 7,1,0.822235384107567,0.761462553545367,0.698715967092663,0.800963987842202,0.742599800498225,0.796003837104887,0.70169791554939,0.850760923076421,0.858430520781316,0.881709486179985,0.861565208812244,0.838067185254768,0.97029228258878,0.966377556975931,0.926382484212518,0.990694700609893,0.971904815528542,0.960612291879952,0.965295312330127,0.97207651283592,1,1,1,1,1,1,1,1,1,1
Sample No. 8,1,1,1,1,0.687083889428992,0.763214568038471,0.703937457398512,0.831050099422224,0.704048249289859,0.742095898221247,0.745864710026886,0.910850981309079,0.85340339777153,0.860815524754114,0.876557076362893,0.894913898898289,0.971991718076169,0.940018441658467,0.951627690736204,0.964582425709814,0.946873054429889,0.984064843822271,0.967287376392633,0.964622767996043,1,1,1,1,1,1,1
Sample No. 9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.755724377687089,0.768073322928045,0.824382549979724,0.816682966974564,0.716898078065366,0.779341184407473,0.79158142059017,0.857267769083381,0.840327028998174,0.905437173177488,0.859590850229375,0.890461656845175
Sample No. 10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.794259177347645,0.717485769164283,0.771105061426293,0.699425110012759,0.726410312311724,0.695363610355649,0.833665571270045,0.904443583141081,0.836743213681504,0.841289225443266
Sample No. 11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.796464580997359,0.706439704752062,0.695881627582945,0.750937246404588,0.750424576901365,0.781867561269551,0.801860967151821,0.864751680900343,0.856466724706814,0.909792968121357,0.886256226468831,0.844334861609153,0.928558827210218
Sample No. 12,1,1,1,1,0.6913000560496,0.757211675158702,0.692398884404916,0.830731742551085,0.694686881652102,0.765397356370464,0.703631036008243,0.886502469561994,0.880021511144005,0.905237560061738,0.857270473630168,0.914978737438098,0.959095100685954,0.991874574106187,0.941599561069161,0.923409454748034,0.971291263643652,0.948567824885249,0.938355495054275,0.928572871722281,1,1,1,1,1,1,1
