"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 1",960000,1343091.5331006,1282279.13543049,1404291.20199995,1467288.48402792,1600152.98350146,1683286.39550307,1813347.41354536,1870127.44754494,2042614.19523809,2168017.19434815,2350276.68675454,2497498.67525031,2684881.70165175,2782252.4183552,3010679.02047247,3197273.43787042,3492109.03653753,3620027.63486423,3869724.36069591,4172109.86812994
"Sample 2",960000,1072171.9913171,1065790.63001247,1019976.95621536,1048815.87076424,1006303.84201209,1007634.80540479,1014889.34657675,990729.918391211,981494.765084636,963799.839609454,973776.627122531,946231.498122413,966142.953231596,956747.1085926,939269.342454849,945849.883689181,956407.568657211,933781.814434075,880550.967376244,886084.697182806
"Sample 3",960000,1157825.75924821,1183886.11637499,1269830.05660732,1305079.68286495,1368531.00870485,1471033.18483865,1590056.17963776,1649036.45276934,1783503.88925488,1868284.33711496,1951522.87601953,2033033.48876445,2074933.79355903,2160147.64745823,2333110.76936742,2452290.84213422,2606036.54772911,2619750.88808538,2840758.69777734,3010277.88580286
"Sample 4",960000,1062882.43010984,1163272.97907934,1243799.48549347,1347158.12317453,1443570.01678629,1569104.67870129,1691216.04270123,1883643.81587646,2008708.76631108,2110293.10384408,2294268.91927591,2466250.82491624,2663065.68988457,2909532.79403085,3121545.26276672,3356715.55860214,3637626.45903764,3909956.93328982,4194722.52465831,4443419.54721765
"Sample 5",960000,1079768.27308902,1082674.91980144,1129556.89573165,1126482.95665119,1130533.06553573,1136324.0680366,1144569.29342243,1140702.48314761,1182933.49200238,1191270.61182126,1232262.5313077,1237211.8054011,1324225.04193043,1346246.26475341,1408780.21830103,1398696.79340268,1393004.92997028,1410584.73781716,1466272.83716701,1519601.47651755
"Sample 6",960000,1097356.45237086,1184128.36795296,1268500.04020641,1346869.51179654,1456891.69541675,1585928.11855384,1727823.11919889,1905699.26248347,2061981.89072821,2247169.26476026,2405604.15352126,2588446.88617886,2746487.63420715,3044349.88339223,3281243.64905676,3517673.69788603,3832687.6760857,4110342.60592993,4513329.97555203,4996325.91109459
"Sample 7",960000,1190589.22430425,1211552.37014246,1228413.701401,1275423.28960894,1271541.65339602,1312002.39447386,1289864.33349378,1336823.30241399,1419722.52789641,1447369.24444809,1466162.10674742,1556248.2787024,1647299.77945205,1719598.13417669,1726925.48191135,1754163.32983353,1819214.49357922,1893542.11543546,1922986.3665292,2014995.7840396
"Sample 8",960000,1366396.02658191,1337319.06792829,1387782.91238771,1400497.47618303,1468653.11455768,1503514.2605586,1538002.41513051,1639669.69486235,1716841.45288133,1756066.73336413,1760600.03673017,1780199.86246754,1848490.66879602,1942332.64806215,1969258.26355888,2038718.64415854,2063418.54903885,2142779.35123706,2209555.03735789,2255377.78946676
"Sample 9",960000,1000340.66554792,969199.223773698,960373.64165963,962478.962155245,964023.78712156,968561.128451067,955260.46171566,929135.474088252,905886.005781145,926238.110445492,901133.927785834,886887.548375846,886580.116161539,858009.68641865,845246.736795835,805782.387451009,802876.421239441,798165.550880966,786446.82690819,764163.210365036
"Sample 10",960000,1367605.94972326,1327872.80746856,1335654.19357353,1251015.03056493,1222520.26687743,1191793.67766526,1176198.40410055,1173346.7863409,1142390.38625832,1121573.57108868,1142558.78384561,1110971.55583834,1106712.25500717,1106242.37798218,1112297.02154893,1102481.79149761,1120369.68417615,1098677.55602546,1083490.92648198,1020992.53202874
