"","Year 0","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20"
"Sample 1",960000,1261748.08385314,1207215.87084025,1288982.68436412,1301419.50092904,1355468.26303395,1399517.36962185,1446903.95423081,1487533.32225223,1529214.91308624,1552858.07663788,1543301.89060753,1569203.31404141,1636368.93572241,1752861.3934165,1895171.01341174,1937693.42161197,2033061.93058418,2103182.77893165,2251096.16119333,1917484.48741345
"Sample 2",960000,1006891.23948532,939587.55246162,907113.733907858,831908.923943128,799236.509343957,771749.601034369,757676.065648771,567764.105750351,414720.873059982,258478.251682096,130208.728668047,41911.7121561675,3480.62140966014,0,0,0,0,0,0,0
"Sample 3",960000,990846.122444617,988907.808547234,979519.657427476,983732.941182701,946528.919648882,895186.516448415,899572.850748884,890689.228969185,876874.863149503,877720.638794853,849872.808893487,805447.076199138,755843.663825549,727191.730641955,712914.281919377,691157.63156386,646040.777357822,425801.513406595,268315.5482196,162789.173094131
"Sample 4",960000,1105377.80935645,1157339.27813138,1196702.66426541,1250709.82383964,1324825.94248806,999398.080009607,847671.487388199,699313.236212411,578600.131980427,452463.008209345,322996.879920113,199382.793914967,142342.897289768,86834.6062773919,34476.3817700675,10112.2631822515,0,0,0,0
"Sample 5",960000,1209432.9583935,1153764.45951295,1125813.17197014,1092341.48285486,1088328.66513448,1065724.37245494,969558.831845491,927808.826980867,837073.355452419,765250.306746739,717293.141977637,682824.631972714,632511.822352094,571368.824472855,499961.906562112,458868.656956922,396754.207388613,360932.491564288,310583.3908089,269123.550466448
"Sample 6",960000,1263184.89462657,1165766.66486214,1231957.52912381,1181849.21179334,1189917.43104007,1214904.81618409,1210694.48113276,1176886.28988339,1149831.36627508,1162532.57686617,1145342.2353904,1154264.19110356,1146508.01778569,1159340.33985399,1139643.18736711,1105768.5331748,1103106.65819154,1121931.52932581,1098806.15523736,1098164.07636748
"Sample 7",960000,1337361.93599912,1333634.62210413,942518.859647116,697899.449836892,513901.572015622,357653.677815393,236236.161095316,138287.74440792,43477.594549468,5622.46356072517,0,0,0,0,0,0,0,0,0,0
"Sample 8",960000,1076778.55866198,1025549.97062012,1020795.82985583,1026187.47990342,988541.795051635,962100.620405775,966934.889210112,953700.782413948,920698.972899104,907476.742521982,878424.61966273,864606.179029928,844873.416843968,851809.799124226,833181.930344005,550834.471103058,399301.223974367,249922.078888717,147218.546703896,68366.2330311773
"Sample 9",960000,1126501.14520299,1031992.02897344,972134.683996933,911801.08604968,875483.445987617,835027.565491911,782628.837814972,736044.523846624,674803.194389176,647477.039848102,603620.16174377,540356.575705377,504724.456262936,446010.802799355,410907.964451001,350866.943619112,296687.759371673,249188.146519605,198428.09820343,146580.691455049
"Sample 10",960000,965038.884044362,1008964.78279014,1024308.21848457,1055937.41204326,1052958.67590438,1081266.19180083,1131048.47559199,1129809.54443433,1184095.58539125,1227288.57326864,1274940.23936689,1323250.34768133,1364656.13361818,1434461.52701833,1520714.66541078,1588919.1802616,1697245.69253739,1762328.26876801,1865208.18036122,1984796.47587617
"Sample 11",960000,1063593.27245319,1067166.79430451,1087365.19827323,1086395.0963649,1113996.40892718,1154374.36797606,1166417.7235682,1164496.17317817,1209226.08263843,1240179.9379933,1223942.94520571,1229819.49255371,1252183.95546526,1267866.52991471,1321592.99845998,1367028.00884281,1404599.64993679,1454897.8461762,1486168.87890639,1536648.67107459
"Sample 12",960000,1252692.84460617,1242458.80988441,1335579.3822464,1375772.63382586,1389372.87207186,1441720.2533142,1455281.86581989,1510983.45104662,1572385.9962615,1648033.67837436,1747538.45619637,1333245.66866327,1145840.12150789,914131.291549513,629434.035640605,485839.379635387,344996.741870929,250589.126544821,184871.566777031,125894.100430062
"Sample 13",960000,1077923.960904,1041866.8738078,993403.451370422,943005.066867253,898817.455972867,863913.751623455,807268.340086197,795602.193857256,741772.132207984,679901.866418002,415307.604046584,297552.869013679,182174.262903222,78719.4977129447,12396.08526214,0,0,0,0,0
"Sample 14",960000,1059437.93796461,1087549.87070822,1051770.904834,1080938.64503619,1067921.06998264,1091285.87736295,1064032.00683438,1068363.86538691,1064081.18551837,1100553.84967915,1086678.33374299,1117706.49653928,1085390.01784951,1088534.44259501,1105658.9906472,1109791.47139005,1104704.44863203,1120292.38034205,1127365.25085464,1151832.02236553
"Sample 15",960000,1050767.17115526,1014294.274829,926148.174461233,691500.305855179,464009.516926782,276419.143775776,168424.212267713,62594.3588183987,12158.2943393405,0,0,0,0,0,0,0,0,0,0,0
"Sample 16",960000,1141991.06818449,1139828.95452416,1209137.82464565,1275153.1846809,1346896.72565183,1412750.86733189,1456333.77121317,1557879.56821683,1679841.97174693,1732253.07545855,1854237.09410041,1959634.5915816,2114025.23962949,2246724.87491129,2349462.99908134,2514492.06855939,2647764.4690985,2867393.90379736,3039705.01786252,3217065.68977843
"Sample 17",960000,1123218.55705599,1109249.68468221,1128986.78310879,1167301.9368244,1186827.40792477,1175940.26362277,1173774.92977411,1241129.71384009,1294341.88834868,1354154.78877435,1460172.82293163,1525247.01444794,1574179.20970866,1686989.58690922,1242101.28945987,1023729.5192247,796622.78680634,649586.933759172,486092.632986725,346095.836869892
"Sample 18",960000,1044029.31481394,678823.404243693,420402.020699952,274364.526859119,149213.020997864,60349.4993802138,11253.8356858878,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sample 19",960000,937764.761766336,889373.167127133,836175.071645119,799659.555919864,751854.024937347,709091.421635817,643767.547884166,593612.541152228,549239.555575182,510544.883279061,460019.684021727,403192.845024175,356253.657964706,312226.71209084,257208.070888703,204342.065959891,157747.994106576,113353.798116402,67727.0589601414,23376.2452745558
"Sample 20",960000,1409683.08381603,1339595.95501841,1414145.58223678,1466426.41286923,1544074.98258847,1645195.54785629,1728423.30201326,1797715.49091197,1870202.03053946,1866185.35829099,1970508.9100505,2042773.58422369,1575305.86951547,1292122.91278125,1036379.38853669,847449.978741078,558333.187073734,398055.948413698,261491.673785055,192178.105827821
"Sample 21",960000,1144127.65002856,1123048.01788167,1118636.88900807,1141987.63120465,1149856.76621542,1154910.98677732,1196780.19068417,1229256.83855349,1291662.87230927,1313559.46267189,1374112.74121335,1423918.26626619,1466489.51527443,1512081.9801943,1565234.22908279,1573813.89331677,1660551.00130485,1325544.34971177,1033251.67788629,809781.485494892
"Sample 22",960000,981150.249000113,989275.311976179,968291.365182383,954533.002548252,951619.935796408,929744.763039388,903883.940404161,871675.926678678,860802.939665164,825934.773279145,785232.648443889,786182.536198065,744787.028164945,699411.550713721,690031.014945891,650214.993466612,604420.608601672,589408.738217032,569383.215735347,534803.286883903
"Sample 23",960000,1219885.93261544,1187559.26192481,1233766.19736138,1221377.92109494,1192211.62472633,1176885.16691017,1153489.23610278,1145558.39469568,1159427.16783583,1129061.86555712,1155737.80293719,1151383.25767073,1110234.8996957,1128093.97074767,1075633.51972821,1017284.94351308,1057156.50918843,1080148.31716163,1013508.28322543,980190.827189698
"Sample 24",960000,942396.082048426,869585.848251775,658652.36225646,421834.484549282,254059.896962602,157134.513799911,64157.1827601333,8968.75249395857,0,0,0,0,0,0,0,0,0,0,0,0
"Sample 25",960000,948617.920922675,928652.799992477,889726.309407485,867458.318098685,831967.578862144,793775.853531439,759819.813354414,730924.303743022,714608.986474039,683432.778933018,640681.793719364,599362.493118321,564487.000334369,518824.151744568,475076.778483179,441381.140864702,395063.459689152,268305.305478819,153522.365107673,80774.673650889
"Sample 26",960000,1103954.22111913,989553.035752165,908675.246118396,825820.186053048,735784.300002675,647559.92630606,571109.605956114,507332.74696009,421342.227810142,344663.563401981,280114.573767948,218278.277035378,155685.42556168,89828.4635076782,29499.886189237,1910.55237326495,0,0,0,0
"Sample 27",960000,1089361.37687919,1027280.83488213,984045.755760288,976671.395016602,986920.570474886,751818.456548215,516326.011537171,366721.406931325,243541.977132076,122253.379114408,46270.3643556065,6319.85562610106,0,0,0,0,0,0,0,0
"Sample 28",960000,1012299.44546708,938275.818549477,888959.516028319,829516.849385006,769905.808145961,731711.716982903,691820.587326708,652266.18504683,607616.065002935,567672.81893115,530897.888689165,484627.345521235,442405.360323916,410138.516454264,362847.640666921,303394.508144397,252488.450971443,205302.073689565,158089.234349866,112470.515282285
"Sample 29",960000,978632.575767173,921647.848443395,898974.377707574,833178.884377528,798227.755499402,768088.528631174,732580.814942341,695385.711259729,663580.437266265,629776.399739056,589958.660305246,530362.080077215,492163.317539999,432974.65298857,381964.186884074,328694.279261555,283725.757034511,192766.463291763,113809.963056714,47829.5875708594
"Sample 30",960000,1061647.70344558,940211.366162835,888173.293109166,842561.533588504,769655.120859396,736052.915487339,689226.742370403,625012.246887713,561715.965390502,516078.373115314,452308.287635491,383205.600167821,331071.684094652,266853.756041977,198682.76459166,141010.849882938,80945.8691417315,29629.1620598768,3849.70578545707,329.978152399336
"Sample 31",960000,1181133.13586228,1137613.61306615,1085648.13094584,1027615.41257212,1015461.25756252,985632.594872913,919052.468982687,895270.903502374,831218.270208767,792523.122902644,738204.299645392,689380.380914397,635727.430209745,593125.079960811,563094.115215898,520197.353993587,309446.886517887,181125.550225157,90179.8231027893,40992.007718599
"Sample 32",960000,1091049.83896347,1056227.2086447,1074224.49555801,1064558.93205332,1047227.05231544,1065734.48078926,1091465.00940722,1139570.3801788,1118111.25008628,1133506.06498564,1116700.74298877,1144320.64616566,1151586.59464385,1159139.06364126,1164936.93526963,1182834.82010405,1210886.21805886,1204552.30997112,1177839.31225185,1180039.29119142
"Sample 33",960000,979323.835419648,928000.776052044,883963.925634334,827311.50889241,784211.168972927,714808.327400734,482499.039745261,334564.534248182,184941.025539382,96005.1952489217,26899.4189367476,1241.97729470988,0,0,0,0,0,0,0,0
"Sample 34",960000,1062033.06549069,966720.895205811,896327.149222574,820140.874037261,747448.871054921,664194.760673591,611574.742823738,542074.156984676,480905.441609755,422932.347638691,360310.693473442,289358.361175549,227133.402068643,120557.520481419,35374.3667916032,1755.2951446001,0,0,0,0
"Sample 35",960000,1073458.13570933,1105481.33878319,1105365.2363753,1142026.88226165,1150749.51442243,1211949.89324086,1215678.38605572,1234114.02111879,1261505.59201429,1317017.27764581,1076965.02837574,782978.166385447,543461.619584691,353949.075021974,226943.247633158,122976.892277503,50389.8276118801,10234.8341427701,615.85733496827,34.9770430066275
"Sample 36",960000,1051573.82663438,920829.653299714,884825.17870849,828020.362231359,759915.185520242,708846.301497603,655149.894238443,581098.438449141,516045.81185613,444599.784631943,399318.480275456,328059.014825533,264819.515919582,138064.111498067,37849.7932629505,1085.74060266723,0,0,0,0
"Sample 37",960000,1259454.04376805,1222261.35688056,1165980.2129428,806022.707171695,556493.99156909,368342.728312848,226258.945872501,127708.104974029,46521.6105973903,9323.79280461315,0,0,0,0,0,0,0,0,0,0
"Sample 38",960000,1103213.75628444,1123850.25925476,1140856.36823162,1184030.87525056,1205595.44816271,1231249.38091508,1252301.90315087,1275039.84416584,1309281.43693811,1362786.4537437,1421543.72321537,1483862.07695213,1534364.00625047,1569860.90419605,1660671.08030994,1744002.88471858,1866918.66997779,1999129.01668987,2139947.25983677,2231206.54634421
"Sample 39",960000,1138686.54744658,1100423.99032063,1132954.26033791,1108291.05464368,1082521.76910166,1117916.16712824,1145312.36112282,1137991.52089252,1161939.43964463,1167725.97432576,1141207.0819349,1135101.51691748,1172307.91210274,1158401.70318022,1137636.64531146,1139929.56343645,1130127.27486182,1142350.68804556,1132002.30520718,1092003.73517489
"Sample 40",960000,1082584.58654675,1055596.35802706,1040383.52782932,1017281.20253283,987864.251698605,965248.333656437,922398.653020506,887876.501174198,841636.061663193,789353.900164784,750121.960039044,709765.637267768,661047.967850553,622920.203750784,576714.303876565,537144.63953971,480163.096760493,431487.399672915,310381.489300851,175580.842107551
"Sample 41",960000,1133924.94108118,1099758.0614431,1121918.96778582,1093077.77775905,1081283.52372897,1046182.42779458,767864.525985807,512215.040285223,326330.935629621,222660.77356481,113550.580159214,30697.8472230032,0,0,0,0,0,0,0,0
"Sample 42",960000,1050013.90625251,1004225.80890484,762190.58760864,505961.387520589,349423.249703216,232711.857294284,126583.860484717,42577.4534243611,6624.22097094237,0,0,0,0,0,0,0,0,0,0,0
"Sample 43",960000,1268322.58642554,1297402.88961849,1270683.08906538,1286292.09895826,1279469.10555367,1278694.35429691,1248879.82360429,1299854.7027262,1309922.27347971,1361861.05880204,1345949.34997597,1355176.45664841,1342349.32651205,1313795.86408611,1328178.04205856,1312726.31875448,1281278.07057409,1267865.30093712,1290335.46170274,1295606.67796136
"Sample 44",960000,1188806.90481896,1185671.94203051,1260591.24433173,1310868.67232114,1293205.74280785,1389248.15827766,966412.321993843,803642.62539165,630378.5626482,452333.757191845,292224.144141854,198584.062855441,98764.8186630008,35245.8946883974,4196.25278276591,0,0,0,0,0
"Sample 45",960000,994137.636272252,690884.929056271,532620.756464272,366184.758630965,250879.901400098,140993.584575741,65040.1188193706,12755.1497363334,0,0,0,0,0,0,0,0,0,0,0,0
"Sample 46",960000,1000864.92034973,1013480.72146363,1016165.82215243,1031574.28422949,1050303.72374547,1045283.76893643,1064868.35221916,1067227.63860905,1089607.07437786,1118790.6014109,1118731.2308332,1119050.80558595,1115609.71838187,1126692.10021433,1126903.70942234,1178439.03502686,1189074.28517023,924829.518894309,693022.715593199,563623.03858959
"Sample 47",960000,966469.58761282,874116.392721232,823833.828119299,756447.640473168,683457.683190314,440971.817014739,270749.373092837,132362.577464299,40703.0307844682,4362.1646716409,0,0,0,0,0,0,0,0,0,0
"Sample 48",960000,1035715.22564414,1023765.72422541,1046234.95277245,1051473.43465379,1036565.90690593,1088846.23524818,1075805.15971242,1105664.33148599,1111327.25081579,1095824.14480849,1058041.58235846,1085860.99546497,768157.723443545,626998.072313582,484485.224118016,324519.767196577,206634.540821711,119814.865846121,58105.606400813,25000.5396636507
"Sample 49",960000,1158742.50987241,1047113.23650905,1030720.27469521,953726.10733578,884838.518969706,860952.499783142,791843.792771462,736948.165310593,680452.461708262,606296.369462424,565562.779873469,488168.116356295,429434.658043281,384373.624247123,230672.702922463,121574.795656139,23920.8370578449,517.128037153735,5.64477254370672,0.0513648159325845
"Sample 50",960000,969400.013345192,932038.498768922,902366.486280031,832865.273932933,788452.985628145,757623.962038365,693674.642894129,661919.126705744,618020.941373646,575684.608611579,523739.501378626,470862.5666844,429761.717332289,390615.589565275,341746.582416867,202115.507538726,101198.716935357,29913.4335449749,6996.63018915625,1388.16979570135
"Sample 51",960000,1042344.57461118,962607.725502052,909751.072482351,679072.564749036,505838.51490904,301101.863072547,159928.748781006,70548.705446265,16130.4781472871,0,0,0,0,0,0,0,0,0,0,0
"Sample 52",960000,956635.130444584,941048.71229709,948149.363836382,914057.23308147,915023.33444572,874329.627551215,852539.134558746,824611.377186963,797566.560840597,592107.698996553,416392.652854758,263504.906121562,149622.047453361,74216.0618036475,13382.5456720202,0,0,0,0,0
"Sample 53",960000,1006544.16642218,986893.608898348,992917.859997187,989001.064085058,991223.43356418,981400.534744317,973997.129505767,973286.732274989,971291.290532199,968594.686345162,990015.400724152,967150.678482869,939412.726423387,922595.940165098,930117.498874338,930318.818525027,917824.968988206,894183.258918662,863404.782627842,854441.987992376
